name,symbol,price_usd,market_cap_usd,volume_24h_usd,percent_change_1h_usd,percent_change_24h_usd,percent_change_7d_usd,acquired_timestamp
Bitcoin,BTC,92174.63,1839579321651.7913,66404815912.09967,-0.95037,-0.4773,0.6613,2025-12-04 22:54:36
Ethereum,ETH,3166.8,382218728400.2272,29097522621.67209,-1.41037,2.00148,4.79264,2025-12-04 22:54:36
Tether USDt,USDT,1.0,185339337044.5001,102161203423.33406,-0.01075,-0.01044,0.03483,2025-12-04 22:54:36
XRP,XRP,2.13,128543344733.45964,3257656379.0815,-1.1382,-1.93669,-3.69336,2025-12-04 22:54:36
BNB,BNB,905.36,124700945665.55124,2082206814.649,-0.51401,0.54381,1.28117,2025-12-04 22:54:36
Solana,SOL,142.34,79675735190.46213,4754093375.72403,-0.39909,0.85158,0.2386,2025-12-04 22:54:36
USDC,USDC,1.0,77821703347.24413,12311480265.10664,-0.01043,-0.00746,0.00338,2025-12-04 22:54:36
TRON,TRX,0.28,26832961226.17912,503418945.82558,0.01775,1.59593,1.34115,2025-12-04 22:54:36
Dogecoin,DOGE,0.15,24129499487.76082,1241001802.76201,-0.39956,-0.63975,-2.47244,2025-12-04 22:54:36
Cardano,ADA,0.45,16005378063.37511,694417042.52585,-1.03002,1.60299,3.09316,2025-12-04 22:54:36
